mu1,mu2,mu3,tau1,tau2,tau3,xi1
-0.8710192400624042,2.3343175815437913,-0.7765508971020569,3.737672265171448,12.030938358066319,2.827031575791552,-1.2033892839184084
-0.7659983797623771,2.3121581415967554,-0.6710346423039735,4.147047944376615,11.350695911977372,1.8703847456310758,-1.2033892839184084
-0.7776215672958547,2.3035631619374697,-0.6363209695493502,3.650592137573034,8.709804034377424,2.4902838071323052,-1.2033892839184084
-0.7995168225489377,2.2541617392483237,-0.7583195397357602,3.1529161191159467,9.812137092180656,3.235603597476193,-1.2033892839184084
-0.7626980591392993,2.378909060234732,-0.7208968700304873,3.746313991222646,8.361256031033609,2.222470237162069,-1.2033892839184084
-0.8290490272189522,2.213806806399295,-0.6897884888761233,3.6312675783228987,6.935335161851769,1.9345791091118512,-1.2033892839184084
-1.0035465909292227,2.295180091093205,-0.7286672404623603,3.672792015794984,7.649935701361671,2.5611417254987017,-1.2033892839184084
-0.905409386528803,2.302441395148859,-0.6741758314247572,3.099212958574504,10.846858485393975,2.6494112334895266,-1.2033892839184084
-0.8862773305205127,2.329235877336146,-0.7007328336021366,3.3886765749791694,10.643903940643943,2.3582519533247943,-1.2033892839184084
-0.7836695921024344,2.3099356600381125,-0.7178334918826614,4.0907855945586595,6.972536856342606,2.4528552267524177,-1.2033892839184084
-0.8048659376567606,2.2899846772579955,-0.7452873113733743,3.5791585421305316,7.764577758050502,2.2460898480029146,-1.2033892839184084
-0.7816363137194356,2.2744066285165405,-0.9258157504826648,3.5408935221088718,8.737504105311832,2.679164601914043,-1.2033892839184084
-0.810899428002328,2.2986455744620455,-0.6310809018692894,3.9328560269121087,9.647445510300471,2.3837856081351814,-1.2033892839184084
-0.8277036647909135,2.3239399960477094,-0.7062947160180301,3.749318191560091,9.13812061641511,2.610267658749425,-1.2033892839184084
-0.8267588400223844,2.2615916895754844,-0.6325801852211719,4.5340712759129715,8.060789818725606,2.4289280349606504,-1.2033892839184084
-0.8541572407960321,2.2908217139631217,-0.7054791535770328,3.3629502994777414,8.141507305721843,2.8976177428728613,-1.2033892839184084
-0.9319620000059713,2.3076318368944344,-0.7584846070332333,3.3290532035421774,7.772750683478863,2.411570103368274,-1.2033892839184084
-0.7793126099837605,2.281654622037379,-0.7607243434628124,4.262507022243646,7.830823835510913,2.9183398313413007,-1.2033892839184084
-0.7780979166875682,2.29479548309408,-0.7320632788303004,3.2062065116190968,8.758592492220304,2.6179216844646875,-1.2033892839184084
